Anio;Mes;Dia;Hora;Monitorizar;Redirigir;Interno;Externo;Externo;Cableada;Wifi
2014;09;18;09;384;2044;89280;55172;55172;42834;48874
2014;09;18;10;384;2330;94365;66694;66694;52933;44146
2014;09;18;11;384;2679;112528;83923;83923;68878;46713
2014;09;18;12;384;2354;85155;86719;86719;57549;30344
2014;09;18;13;384;1975;58424;84779;84779;41594;19189
2014;09;18;14;384;1975;50860;90090;90090;29873;23346
2014;09;18;15;384;2345;56949;96305;96305;28684;30994
2014;09;18;16;384;2558;54016;111173;111173;25507;31451
2014;09;18;17;384;2509;48321;118674;118674;26039;25175
2014;09;18;18;384;2270;33493;108903;108903;21147;15000
2014;09;18;19;384;1944;21348;103742;103742;15700;7976
2014;09;18;20;384;1729;8032;101745;101745;6966;3179
2014;09;18;21;380;1298;6206;79596;79596;6031;1853
2014;09;18;22;384;1226;5424;75079;75079;5248;1786
2014;09;18;23;384;844;4538;58839;58839;4906;860
2014;09;19;00;384;473;4617;32343;32343;4464;1010
2014;09;19;01;384;194;3959;16446;16446;4224;313
2014;09;19;02;384;74;3463;8252;8252;3890;31
2014;09;19;03;384;14;3431;4559;4559;3829;0
2014;09;19;04;384;27;3522;4966;4966;3868;65
2014;09;19;05;384;25;3489;3301;3301;3846;52
2014;09;19;06;384;73;3591;5291;5291;3879;169
2014;09;19;07;384;224;8094;10991;10991;5919;2783
2014;09;19;08;384;1287;59953;25596;25596;35497;26127
2014;09;19;09;384;1557;85744;49035;49035;50484;37201
2014;09;19;10;384;1933;67756;63089;63089;38182;31891
2014;09;19;11;384;2191;68833;69604;69604;43865;27543
2014;09;19;12;384;1930;60776;75294;75294;39505;23585
2014;09;19;13;384;1629;45552;74090;74090;35861;11704
2014;09;19;14;384;1298;24971;58269;58269;16641;10012
2014;09;19;15;384;1483;26845;71298;71298;13205;15507
2014;09;19;16;384;1546;31059;75824;75824;18123;14866
2014;09;19;17;381;1524;25315;73122;73122;16784;10436
2014;09;19;18;376;1192;16868;61534;61534;12311;6125
2014;09;19;19;384;1068;9573;62828;62828;8671;2354
2014;09;19;20;384;948;5562;56799;56799;5448;1446
2014;09;19;21;384;762;4965;44247;44247;4853;1258
2014;09;19;22;384;626;4555;40089;40089;4849;716
2014;09;19;23;384;498;4494;29392;29392;4691;685
2014;09;20;00;384;301;3770;20944;20944;4320;135
2014;09;20;01;384;114;3555;9094;9094;4045;8
2014;09;20;02;384;59;3472;5858;5858;3889;26
2014;09;20;03;384;27;3444;3336;3336;3855;0
2014;09;20;04;384;17;3480;3936;3936;3857;24
2014;09;20;05;384;13;3437;3376;3376;3834;0
2014;09;20;06;384;9;3428;2179;2179;3821;0
2014;09;20;07;384;38;3432;4023;4023;3854;0
2014;09;20;08;384;161;3455;11515;11515;3976;24
2014;09;20;09;384;401;4514;25996;25996;4998;301
2014;09;20;10;384;1080;5308;52484;52484;5222;1550
2014;09;20;11;384;1376;6862;73403;73403;6552;2070
2014;09;20;12;384;1372;5610;75705;75705;5507;1859
2014;09;20;13;384;1116;5390;60472;60472;5898;992
2014;09;20;14;384;911;4400;46977;46977;4981;714
2014;09;20;15;384;1020;4367;47687;47687;5281;490
2014;09;20;16;384;932;5409;52315;52315;5048;1677
2014;09;20;17;384;1164;5210;59768;59768;5642;1116
2014;09;20;18;384;1025;5675;53203;53203;5345;1739
2014;09;20;19;384;798;5146;47062;47062;5064;1264
